customer_id,frequency,recency,T,monetary_value
12346,6.0,57.0,103.0,12907.160000000002
12347,7.0,58.0,58.0,615.7142857142857
12348,4.0,51.0,62.0,359.31
12349,2.0,82.0,84.0,1305.085
12352,8.0,51.0,56.0,198.22375
12353,1.0,29.0,58.0,89.0
12355,1.0,51.0,81.0,459.4
12356,5.0,57.0,60.0,962.658
12357,1.0,50.0,55.0,6207.67
12358,4.0,104.0,104.0,504.31000000000006
12359,9.0,97.0,105.0,901.4111111111112
12360,5.0,86.0,93.0,698.978
12361,3.0,56.0,97.0,119.01666666666667
12362,8.0,42.0,42.0,537.89125
12363,1.0,19.0,34.0,252.9
12364,3.0,15.0,16.0,209.7266666666667
12369,2.0,32.0,91.0,601.415
12370,4.0,88.0,95.0,888.4
12371,2.0,84.0,92.0,1429.85
12372,2.0,32.0,42.0,416.41
12373,2.0,52.0,96.0,284.875
12374,2.0,81.0,84.0,640.34
12375,1.0,13.0,14.0,187.20000000000002
12376,1.0,4.0,59.0,30.6
12377,3.0,39.0,84.0,685.12
12378,1.0,62.0,80.0,4008.62
12379,3.0,65.0,76.0,382.58
12380,6.0,91.0,94.0,950.3333333333334
12381,2.0,17.0,17.0,223.035
12383,4.0,24.0,50.0,268.21
12384,1.0,13.0,17.0,212.58
12386,1.0,4.0,52.0,143.0
12388,7.0,81.0,83.0,491.3557142857143
12389,2.0,36.0,93.0,634.24
12391,4.0,91.0,94.0,503.1125
12393,4.0,51.0,61.0,523.9125
12394,1.0,22.0,31.0,729.4000000000001
12395,13.0,83.0,86.0,246.5946153846154
12397,1.0,14.0,19.0,1105.09
12399,6.0,75.0,92.0,275.21999999999997
12402,5.0,50.0,96.0,192.04000000000002
12403,1.0,67.0,74.0,391.70000000000005
12406,4.0,96.0,99.0,1377.29
12407,4.0,31.0,38.0,323.955
12408,6.0,67.0,71.0,621.1116666666667
12409,5.0,70.0,81.0,3323.362
12410,1.0,28.0,72.0,533.33
12412,5.0,67.0,77.0,354.01
12413,3.0,48.0,57.0,228.70000000000002
12414,3.0,35.0,66.0,147.47
12415,16.0,72.0,75.0,8856.664375
12417,19.0,105.0,105.0,301.0163157894737
12418,3.0,74.0,90.0,559.0866666666667
12419,1.0,4.0,59.0,152.1
12421,5.0,70.0,72.0,164.95999999999998
12422,11.0,90.0,103.0,324.03181818181815
12423,9.0,66.0,66.0,226.51000000000002
12424,2.0,55.0,78.0,1446.745
12425,1.0,53.0,64.0,777.2
12426,1.0,66.0,94.0,510.73
12427,2.0,50.0,53.0,225.15
12428,6.0,37.0,40.0,331.20666666666665
12429,5.0,77.0,78.0,887.01
12431,22.0,94.0,99.0,414.4068181818182
12432,1.0,18.0,24.0,1042.66
12433,8.0,68.0,68.0,2080.2175
12434,2.0,42.0,54.0,403.07
12435,5.0,94.0,105.0,2583.5860000000002
12437,31.0,105.0,105.0,347.0361290322581
12438,1.0,18.0,20.0,1696.78
12439,1.0,6.0,103.0,76.52000000000001
12440,1.0,36.0,102.0,250.69
12444,4.0,21.0,24.0,553.815
12445,1.0,57.0,60.0,77.4
12449,4.0,59.0,62.0,899.0725
12450,4.0,46.0,68.0,134.945
12451,6.0,74.0,75.0,1746.4350000000002
12454,3.0,52.0,60.0,3908.7533333333336
12455,8.0,93.0,103.0,510.815
12456,2.0,30.0,36.0,900.435
12457,5.0,53.0,62.0,408.646
12458,3.0,59.0,69.0,385.6266666666667
12462,1.0,41.0,43.0,343.48
12463,3.0,27.0,34.0,295.40333333333336
12464,6.0,43.0,44.0,131.35833333333332
12465,1.0,22.0,24.0,271.25
12468,4.0,70.0,97.0,708.3775
12469,1.0,2.0,76.0,1113.7
12471,40.0,104.0,104.0,852.27425
12472,18.0,99.0,103.0,765.27
12473,2.0,20.0,27.0,998.02
12474,25.0,93.0,95.0,446.802
12475,1.0,51.0,58.0,669.38
12476,14.0,69.0,71.0,801.0121428571429
12477,8.0,86.0,89.0,2281.8925
12480,6.0,68.0,72.0,739.4916666666667
12481,11.0,84.0,87.0,733.0827272727273
12482,4.0,11.0,93.0,3875.9900000000002
12483,17.0,95.0,97.0,226.32235294117646
12484,7.0,92.0,97.0,711.5642857142857
12488,2.0,10.0,11.0,345.635
12490,19.0,104.0,105.0,433.3
12492,2.0,48.0,57.0,113.605
12493,1.0,5.0,28.0,183.24
12494,8.0,80.0,82.0,159.05
12497,2.0,81.0,92.0,2473.3700000000003
12498,1.0,5.0,8.0,138.45
12500,14.0,93.0,96.0,367.23785714285714
12502,4.0,31.0,44.0,622.655
12504,3.0,83.0,85.0,190.88333333333333
12507,3.0,64.0,83.0,350.93666666666667
12510,6.0,85.0,105.0,452.52500000000003
12514,1.0,53.0,91.0,1017.6800000000001
12516,3.0,74.0,85.0,593.0533333333334
12517,3.0,23.0,27.0,517.3000000000001
12518,4.0,16.0,16.0,388.015
12519,1.0,59.0,68.0,276.84000000000003
12520,4.0,28.0,39.0,362.21
12522,1.0,2.0,7.0,85.32000000000001
12523,20.0,101.0,104.0,196.7895
12524,15.0,94.0,95.0,620.4806666666667
12525,2.0,21.0,92.0,203.64999999999998
12526,2.0,13.0,13.0,344.18
